Aamori Adekanmbi
Abidemi Ajayi
Abiodun Koya
Abubakar Atiku
Abubakar Tafawa
Adaeze Wane
Ade Ige
Adekunle Gold
Adeola Ndiaye
Adewale Akinwale
Adia Abebe
Adisa Banjoko
Amadou Diallo
Amina Ahmed
Azibo Eze
Baako Siwale
Baba Dee
Bamidele Ajayi
Barkevious Mingo
Belinda Antwi
Bello Nwankwo
Betty Kisimba
Bolanle Coulibaly
Bongani Mabuza
Butholezwe Nkrumah
Chidi Nwankwo
Chidinma Seydou
Chijioke Uzor
Chika Okafor
Chima Eze
Chinelo Abebe
Chioma Onyango
Chiumbo Nwankwo
Chukwuemeka Obiajunwa
Daddy Showkey
Dakarai Moyo
Dalia Sow
Damilola Zungu
Dayo Okeniyi
Dayo Onyeka
Dinah Ndonga
Dumisani Ajayi
Ebo Quansah
Efe Oladele
Efia Nkrumah
Efua Mensah
Elikem Mawuko
Emeka Anyaoku
Enitan Adebayo
Eshe Oladele
Esther Afolayan
Ezinne Sidibe
Femi Akindele
Femi Diallo
Festus Mogae
Fola Moyo
Folake Gassama
Folami Adebayo
Folorunsho Ojuola
Foluso Adebayo
Funmi Guma
Gamba Ncube
Gideon Ncube
Gigi Nkrumah
Gobindu Hove
Goodluck Jonathan
Habiba Bah
Habiba Toure
Hadiza Jallow
Halima Bah
Halima Ly
Halla Mphahlele
Idris Elba
Ife Dube
Ifeoma Ayite
Ifeyinwa Adebayo
Imani Dube
Imani Idriss
Iniobong Kamau
Jabari Mwangi
Jabu Mahlangu
Jabulani Moyo
Jamila Omari
Janelle Kumalo
Jele Mashaba
Jengo Mwangi
Josiane Fall
Kabiru Rabiu
Kafula Gwala
Kagiso Rabada
Kato Abebe
Kaya Okoye
Kayode Adegoke
Kenya Makhanya
Kikelomo Barry
Kofi Annan
Kojo Nkrumah
Kwabena Boakye
Kwame Nkrumah
Lamine Diack
Lehandi Hove
Lekan Babalola
Lemara Diop
Lerato Banda
Lindiwe Moyo
Lindiwe Onyeka
Lola Keïta
Madiba Nelson
Maimouna Danso
Makena Wanjiku
Mandla Hove
Mandla Newton
Matome Letsoalo
Mbuso Mhlongo
Mike Ezuruonye
Mudiwa Ncube
Mwai Kibaki
Mwamba Nkosi
Mwanajuma Kunene
Naledi Kunene
Nana Akufo-Addo
Ngozi Kunene
Nia Adebayo
Nia Mazibuko
Nkiru Seck
Nnamdi Kanu
Nneka Barrow
Nwabueze Okoye
Obioma Buhari
Ogechi Samassa
Olaide Sikazwe
Olajide Ogundipe
Olufemi Bamidele
Olumide Akintunde
Onyeka Diallo
Onyekachi Ugo
Oris Erhuero
Osei Mabaso
Ousmane Dembele
Oye Akideinde
Palesa Marealle
Patience Sawadogo
Patson Daka
Penda Diallo
Pili Diallo
Precious Okpara
Princess Eze
Quanda Mabaso
Queen Kargbo
Queency Niane
Queeneth Soumahoro
Quiniso Mphahlele
Quiniso Nkrumah
Rafiatou Kabore
Rahama Ndiaye
Ramla Gwala
Rethabile Khumalo
Rojo Mettle-Nunoo
Rufaro Chimombo
Rukia Sibanda
Sade Bankole
Sadio Mane
Sekou Toure
Sika Baah
Siphiwe Djalo
Sipho Ncube
Sisi Nkosi
Siyabonga Nkosi
Sokhna Afolayan
Subira Chimombo
Suleman Buhari
Taonga Chimombo
Temilade Kamau
Thabo Mbeki
Thabo Pule
Themba Jobe
Thulisile Ndour
Tsholofelo Nguema
Tumelo Theron
Tunde Bakare
Uchechi Abdoulaye
Uchechi Marealle
Uloma Mbow
Uyi Moden
Uzoamaka Dlamini
Uzochi Kamau
Uzodinma Iweala
Victor Osimhen
Victoria Gbane
Vitalis Ncube
Vivian Adadevoh
Vusi Marealle
Vuyiswa Coulibaly
Wanjiku Mungai
Wanjiru Mphahlele
Wasiu Alabi
Wazi Bah
Wema Traoré
Wuraola Traoré
Xhosa Mhango
Xola Gwala
Xolile Mhlongo
Xoliswa Sadio
Yaa Konadu
Yara Dube
Yasmina Diop
Yemi Osinbajo
Yewande Afolayan
Yewande Sylla
Zainab Kaboré
Zenande Mwangi
Zola Mancube
Zuberi Jobe
Zuri Bah
Zuri Mugabe
