Adil Rayan
Ahmed Mansoor
Ammar Moussa
Ayman Zidan
Badir Mousa
Bashir Zahran
Bassam Jahaf
Fadhil Sabah
Fahmi Said
Faisal Eid
Faris Al-Ahmad
Ghassan Tarek
Ghazi Shami
Hani Nassar
Hassan El-Sayed
Hazem Khattab
Hisham Baz
Ibrahim Mustafa
Ismael Nasr
Izz Al-Din Shukri
Jamal Haddad
Jawad Boulos
Kamal Hakim
Kareem Abadi
Karim El-Tawil
Khalid Bin Fahd
Ma'an Al-Ayyar
Mahir Saad
Marwan Kayed
Mehmet Aly
Mohammed Al-Fayed
Mujahid Abbas
Mujtaba Aziz
Murad Zaki
Nabil Karam
Nadeem Mansoor
Naim Antar
Nasser Al-Khalidi
Nawaf Al-Bahar
Nizar Zakka
Noor Al-Masri
Omar Bahri
Osama Quzah
Qusay Zahran
Raed Abu Rashed
Rafiq Hussaini
Rami Abbas
Ramzi Shalah
Rayan Nahas
Riyad Nasrallah
Sabri Al-Kurdi
Saddam Darwish
Sajid Zia
Sami Maalouf
Saoud Al-Shuraim
Taha Rashed
Talal Rizk
Tariq Alshammari
Thamer Al-Khateeb
Wael Hamza
Walid Zarzour
Yaqoub Haddad
Yasin Al-Kiswani
Younis Haroon
Yusuf Al-Harbi
Zaid Hassan
Zaid Said
Ziyad Darwich
Zuhair Khabour
Zuhair Yassin
