A-be Windroot
Aderyn Skyfinder
Aedan Muir
Aedre Dreamweaver
Aenarion Dragonbane
Aerandir Moonshadow
Aerilyn Daystrider
Ahna Sunwhisper
Aiam Aeravir
Airis Stonesinger
Albus Dumbledore
Althea Starborn
Anomander Rake
Anwyn Silvermantle
Aragorn Wavebreeze
Arcturus Mengsk
Aric Jorgan
Arlen Bales
Artemis Entreri
Arwyn Skydancer
Athrogate Rhorgarn
Azir Heavenseeker
Balasar
Barahir Flamefoot
Barid Stormsoul
Belgarath the Sorcerer
Belthil Galad
Berendir Windwhisper
Brandr Stormwind
Briony Dawnwhisper
Briseth Flameheart
Brom
Caelan Snowshaper
Caellis Windrider
Caladhiel Starfire
Caladwen Rainchaser
Caramon Majere
Celebrian Galesinger
Celestria Hardstone
Celina Longbranch
Conan the Barbarian
Daenir Sunfire
Daniel Stormrider
Davin Moonlore
Doric Stormblessed
Dreya Thunderbow
Drizzt Do'Urden
Drusas Achamian
Drusylla Moonshadow
Drystan Seastorm
Durin Moonshot
Eathelin Windweaver
Eddard Stark
Edhelorn Windchaser
Elayne Dragonspeaker
Eldacar Galewaver
Elodin Quickspark
Elric of Melniboné
Elthea Shadowstream
Elurel Nighttracker
Elys Amberfall
Ennorath Lightfoot
Eragon Bromsson
Erlan Stormbreaker
Essylt Rockshaper
Fabiola Thunderflame
Faelwen Emberheart
Faral Windrider
Fenendra Stonestep
Feolan Whitewind
Frodo Baggins
Furyal Windchaser
Fyriel Goldshaper
Gaelan Starfire
Galadriel Lightfire
Galather Mistweaver
Galiana Starshine
Gandalf Greyhame
Garion Lionheart
Gavin Guile
Ghislaine Silvergaze
Ghita Flamebreeze
Gilgamesh Starflame
Glynnis Shadowflame
Gormag Tranetracker
Hagrid Forgeheart
Haldon Lightwhisper
Harmony Moonbush
Helori Nightbranch
Hespera Dawnlight
Hestra Windstrider
Holindil Seasurfer
Iar Solonox
Idril Rainweaver
Iliara Nightsinger
Illynn Sunbreeze
Isemay Starglow
Ishamael Darkbinder
Ithene Mossbloom
Ivandor Crystalweaver
Jasnah Kholin
Javash Shadowfoot
Jaxon Frostshot
Joffrey Lannister
Joni Frostsworn
Joselyn Cloudmaiden
Jurel Flameheart
Kaelis Emberbush
Kaladin
Kallor Eiderann
Keledron Mistsinger
Kellin Starfoot
Kelsier
Kenadie Thunderborn
Kvothe Kingkiller
Laelani Wildwhisper
Laindir Moonfire
Lan Mandragoran
Leandros Moonchaser
Leoric Darkstone
Lheryn Earthmantle
Logen Ninefingers
Lorin Spiritshaper
Lotherin Ashrider
Lucius Malfoy
Maedros Galewhisperer
Manon Emberbranch
Marguerin Stormfoot
Marineth Duskfinder
Matrim Cauthon
Meldiriel Embertracker
Meriel Frostguard
Moira Moonstream
Myrddin Starshaper
Narya Dreamweaver
Nellas Swiftfoot
Nerva Wavebringer
Nim Shadowsong
Nynaeve al'Meara
Nysa Sunward
Oberon Mistweaver
Olira Dreambinder
Omorose Ironfoot
Ondra Marbleeye
Orithyia Frostbreeze
Oromë Swiftfoot
Otylia Coldwind
Ozric Sunshadow
Paelor Galewhisper
Paloma Stormweaver
Paltir Swiftbringer
Pamela Flameeye
Pelenor Windtalker
Pernille Winterbark
Perrin Aybara
Phelan Magicbreeze
Qaelis Rainbringer
Qith Halfelven
Quenaya Wavesurfer
Quinneth Magmafist
Raeli Starwind
Raen Windwalker
Ragnar Bloodspiller
Raina Windrider
Remus Lupin
Rhian Watermill
Rhothomir Stormbush
Rhydian Shadowmorn
Roland Deschain
Roslin Firegrip
Rossalyn Galewing
Ruenna Ashwind
Sarek Windweaver
Seraphina Frostspear
Serin Frostbrook
Sevro au Barca
Soren Lightbringer
Sulienn Frostweaver
Sylph Windwalker
Tanis Half-Elven
Tarama Stormhammer
Tarranon Frostbringer
Tasslehoff Burrfoot
Terra Stonebreeze
Thalia Stoneweaver
Thalindra Deepwater
Thara Frostflame
Thorgal Shadowvein
Thranduil Stormweaver
Thulsa Doom
Tomaar Goldeneyes
Tyrael Moonsinger
Tyrion Lannister
Tyrus of Norkaan
Ueril Shadowsinger
Uldor Sunrider
Uldorin Seafoot
Urielle Flamesinger
Vaelin Al Sorna
Valadhiel Starsinger
Valarr Dragonbane
Valena Clearwater
Varris Frostcrafter.
Vasara Rainshadow
Vax'ildan
Vesryn Lavawalker
Vezlana Riverwhisper
Vienne Lightbringer
Vorenus Earthmender
Waylen Windrider
Winde Flamebreeze
Wrennalia Galefoot
Xandria Autumnfire
Xara Cloudweaver
Xavric
Xena Cloudchaser
Xenobia Frostwing
Xylara Icehorn
Yarendil Dawnbringer
Yarinna Swiftfoot
Yarvi Half-a-King
Yavandir Dreamchaser
Yoren Hawklight
Ysabeau Lightstrider
Zairus Starwhisper
Zargothrax
Zarindir Emberbreeze
Zeddicus Zu'l Zorander
Zephyr Waveswinger
Zephyrine Brightstone
Zephyrinus Stormbringer
