Ada Mitchell
Alexis Taylor
Annabelle Armstrong
Athena Brooks
Ava Hunter
Beatrice Dunn
Caroline Leighton
Cecilia Hart
Clara Bass
Clementine Vaughn
Constance Kelley
Cordelia Brown
Daisy Eastman
Dorothy McFarland
Elena North
Elizabeth Sullivan
Emma Chambers
Estelle Rhodes
Felicity Cooper
Flora Hawkins
Florence Reed
Frances Booth
Grace Hudson
Gracie Hargrove
Harmony Pike
Harriet Sinclair
Hazel Thornton
Helena Farley
Iris Madison
Isabelle Granger
Ivy Wilson
Jennie O'Dell
Judith Butler
June Saunders
Katherine Douglas
Laura Baxter
Leah Crawford
Lena Gould
Lillian Sweeney
Loretta Fields
Louisa Colbert
Lucille Murphy
Lydia Harper
Mabel Logan
Margaret Avery
Maria Carson
Martha Palmer
Mary Russell
Matilda Curtis
Maud Sheridan
Minerva Peters
Miriam Appleton
Nina Baxter
Norah Chandler
Olive Goodman
Patience Everett
Pearl Greyson
Phoebe Davis
Rachel Summers
Rebecca Jameson
Regina Bishop
Rose Dunbar
Ruby Warren
Sally Haight
Samantha Milligan
Sophia Nash
Stella Cartwright
Victoria Fields
Violet Holt
Zelda Horton
