Adrien Caron
Amaury Delorme
André Fournier
Antoine Dupuis
Arthur Lecomte
Axel Petit
Baptiste Morel
Basile Deschamps
Bernard Roux
Cedric Marchand
Christian Garcia
Cyril Dupuy
Damien Lefevre
Etienne Lege
Fabien Vallée
Florian Duclos
François Lefevre
Gaetan Maréchal
Gaston Melchior
Geoffrey Marin
Guillaume Leblanc
Gérard Girard
Hector Fontaine
Hugo Aubert
Hugo Paris
Jacques Lemoine
Jean Dupont
Jonas Jean
Jordan Collet
Jules Blanc
Julien Martin
Louis Mercier
Luc Renaud
Lucas Barre
Léo Leclerc
Marc Durand
Marcel Lacour
Mathis Blanchard
Maurice Taggart
Maxime Berger
Nicolas Lambert
Olivier Simon
Pascal Lacroix
Patrice Petit
Paul Cava
Paul Roussel
Philippe Moreau
Pierre Leroy
Pierre-Antoine Breton
Quentin Guérin
Raphael Richard
Remy Guillaume
Renaud Lefort
Robert Brun
Robin Boulanger
Romain Moulin
Rémy Lefrançois
Sebastien Delahaye
Simon Viard
Sylvain Picard
Thibaut Dubois
Thierry Laurent
Tony Blanchet
Valentin Boucher
Yannick Étienne
Yves Bernard
