Adelheid Waltz
Anastasia Baumann
Anika Müller
Anna Schmid
Anneliese Kuhn
Anni Hartmann
Bertha Hartmann
Carolin Zimmermann
Charlotte Bender
Charlotte Lang
Clara Wolf
Doris Schultze
Dorothea Schroeder
Edith Lorenz
Elfriede Thomas
Elisabeth Hoffmann
Emilia Meyer
Emma Fischer
Erika Sommer
Eugenie Wolf
Evelyn Kaiser
Fiona Braun
Franka Huber
Frida Lindner
Gertrud Strauss
Gisela Herrmann
Greta Berger
Hanna Schneider
Hannelore Klein
Herta Hoffmann
Hertha Schmid
Ida Schulze
Ilse Koehler
Ines Lehmann
Iris Bauer
Isabel Beier
Jana Voigt
Josephine Fischer
Julia Koch
Kaethe Klein
Kandida Franz
Klara Jäger
Lara Krause
Laura Fuchs
Lena Hoffmann
Liesl Walter
Lina Wagner
Liselotte Schmidt
Ludmilla Wagner
Lydia Müller
Lydia Schneider
Magdalena Roth
Margarete Huber
Marie Weber
Marina Richter
Marlene Schwarz
Marta Lang
Melina Peters
Nina Schwarz
Olga Becker
Ottilie Lorenz
Pia Schaefer
Rita Kaiser
Ruth Kraus
Sabrina Haas
Sarah Richter
Simona Pfeifer
Sophia Weber
Tina Schmidt
Ursula Schmitt
Vera Klein
Vera Strauss
Viktoria Pfeifer
