Adolf Schäfer
Albert Zimmer
Alfred Beck
Alfred Pohl
Anton Braun
Armin Neumann
Axel Berg
Benjamin Sauer
Bernd Schumacher
Christoph Böhm
Daniel Krause
Dennis Thomas
Dieter Schneider
Dietmar Kuhn
Edgar Hartung
Eduard Heinrich
Emil Wagner
Erich Kopp
Erik Seifert
Ernst Sommer
Eugen Böhm
Florian Wolf
Frank Seidel
Friedrich Engel
Fritz Schneider
Georg Wagner
Gerhard Dietrich
Gerhard Kessler
Gustav Scholz
Gustav Schwarz
Günther Schreiber
Hannes Lang
Hans Graf
Harry Lehmann
Heinrich Bauer
Helmut Schmid
Hermann Maier
Holger Winkler
Horst Zimmermann
Hugo Friedrich
Jan Beier
Jasper Klein
Johann Wolff
Johannes Hermann
Jürgen Gross
Jürgen Neumann
Karl Schmidt
Klaus Bauer
Klaus Brinkmann
Konrad Ernst
Kurt Mayer
Leo Brandt
Lothar Roth
Ludwig Baumgartner
Ludwig Roth
Lukas Schulz
Manfred Vogel
Markus Becker
Martin Weber
Matthias Friedrich
Maximilian Reiss
Norbert Schroeder
Oliver Stern
Otto Schneider
Otto Walter
Pascal Koch
Philipp Hahn
Rainer Meyer
Reinhard Dietz
Robert Franke
Roland Huber
Rolf Hartmann
Rudolf Prinz
Simon Richter
Stefan Hofmann
Thomas Riedel
Tobias Frank
Uli Fischer
Ulrich Barth
Uwe Beck
Walter Müller
Werner Ziegler
Wilhelm Köhler
Wilhelm Schwarz
Wolfgang Hofmann
