Abner Underwood
Archibald Fairfax
Barney Mathis
Baxter Pierce
Bertram Hastings
Boone Potter
Brett Mason
Buck Haggard
Calvin Alsop
Chester Greene
Clay Jackson
Cletus Davenport
Clifford Coburn
Clyde Branson
Conrad Channing
Corbin Raymond
Delmar Peck
Dwight Colburn
Dwight Collins
Earl Hartley
Elmer Stone
Emerson Culver
Eustace Flynn
Everett Ashford
Floyd Oxley
Forrest Sparrow
Garland Carver
Grady Lancaster
Grover Norwood
Gus Wheeler
Hank Stanton
Harmon Wilder
Hayden Thornton
Hayes Bradford
Haywood Bentley
Herschel Bolton
Hubert Humphries
Ike Barclay
Irwin Gaines
Jeremiah Standish
Jerome Bradshaw
Jesse Donovan
Jethro Hartnell
Lemuel Weyland
Leroy Branch
Loren Buckman
Luther Morley
Milton Ashby
Mortimer Oaken
Norbert Hildred
Norman Blackwood
Odell Stafford
Orville Pickins
Oscar Nolan
Oswald Baxter
Raleigh Ingram
Reuben Harper
Roscoe Thorton
Royce Gallagher
Rufus Whitman
Ryker Beaumont
Solomon Meredith
Vernon Thatcher
Wade Abernathy
Walker Sutherland
Waylon Fox
Wilfred O'Connor
Zeke Merriweather
