Adolfo Ximénez
Alberto Salas
Alejandro Ruiz
Antonio Ortega
Armando Castillo
Arturo Cordero
Augusto Villanueva
Benito Jáuregui
Bernardo Escobar
Carlos Garcia
Daniel Elias
Diego Lopez
Edgar Pacheco
Eduardo Aguirre
Emilio Rivero
Enrique Soto
Esteban Navarro
Felipe Ibarra
Felipe Trujillo
Fernando Mora
Fidel Lugo
Francisco Cisneros
Francisco Guzman
Gabriel Paredes
Gerardo Marquez
Guillermo Araujo
Gustavo Vidal
Humberto Fonseca
Ignacio Carmona
Ignacio Jimenez
Isidro Vera
Javier Vargas
Jerónimo León
Joaquín Calderón
Jorge Guerra
José Martinez
Juan Herrera
Juan Morales
Julio Gomez
Leonardo Juarez
Luis Guzmán
Luis Torres
Manuel Vega
Mario Mendoza
Miguel Luna
Norberto Ochoa
Néstor Navarro
Octavio Nájera
Osmar Mondragón
Otto Yañez
Patricio Padilla
Pedro Rojas
Quirino Quevedo
Rafael Galindo
Rafael Herrera
Ramon Pineda
Raul Cuevas
Renato Ríos
Ricardo Marin
Roberto Uribe
Salvador Delgado
Salvador Medina
Santiago Saucedo
Santos Peña
Sergio Alfaro
Tomás Carrasco
Vicente Ugalde
Victor Suarez
Xavier Zúñiga
Yago Valdés
