Adelina Galli
Anna Greco
Antonella Colombo
Antonia Fontana
Beatrice Ferrara
Bianca Silvestri
Carla Grassi
Carolina Pasquale
Caterina Ricci
Chiara Conti
Claudia Conte
Claudia Sartori
Concetta Rinaldi
Daniela Vitale
Diana Ricci
Donna Bellini
Elena Bruno
Elisa Marino
Elvira Benedetti
Emanuela de Luca
Eva Gallo
Federica Bianco
Fiorella Ferraro
Fiorenza Fabbri
Floriana Lombardo
Francesca Martini
Gemma Negri
Giovanna Verdi
Giuseppina D'Angelo
Graziella Piazza
Henrietta Ferrero
Iriz Verdi
Isabella Lombardi
Katia Giuliani
Liliana Russo
Livia Moretti
Lucia Bianchi
Luisa Montanari
Margherita Fiore
Maria Rossi
Marta Ferrari
Melania Magri
Nicoletta Rizzo
Noemia de Rosa
Nunzia Parisi
Ornella Marino
Palmira Caputo
Patrizia Pellegrini
Piera Trevisan
Renata Barone
Richella Orlando
Rosa Costa
Rosalia Esposito
Rosanna Serra
Rosetta Berti
Sabrina Bianco
Sara Giordano
Selina Russo
Serena Neri
Silvia Brunetti
Simona Santoro
Sonia Basile
Stella Esposito
Tamara Sannino
Tiziana Lombardo
Valentina Caruso
Valentina Romano
Valeria D'Amico
