Adina Rubin
Atara Glick
Beila Jacobson
Blima Roth
Chani Weissman
Chaya Schwartz
Dassi Elkaim
Deborah Katz
Devorah Bialik
Dina Finkelstein
Elisheva Rosenberg
Esther Sternberg
Etty Goldenberg
Eva Markowitz
Faygie Berger
Freida Resnik
Fruma Bernstein
Gavriella Braverman
Gila Greenberg
Gitel Kessler
Hadassah Margolis
Hannah Kornbluth
Hindy Sofer
Ida Perlman
Ilana Shapira
Ita Ostreicher
Jenna Wasserman
Jochebed Baum
Judith Shteynberg
Keila Lefkowitz
Kesha Feld
Kinneret Hershkowitz
Lea Rosenberg
Leah Rothman
Lilyan Cohan
Lipa Tischler
Malka Goldblum
Malky Hoffman
Mirel Pinski
Miriam Feldman
Naomi Horowitz
Nechama Abramson
Neima Goldfischer
Nessa Seligman
Ofra Fox
Orly Bernstein
Osnat Rothstein
Pearl Gross
Penina Silverberg
Pnina Lipshitz
Queenie Klein
Rachel Weinstein
Raizel Ginsberg
Raquel Weinstein
Rebecca Goldstein
Rivka Lifshitz
Ruth Levy
Sarah Cohen
Shifra Steinberg
Shira Eisen
Sima Litvak
Tikva Epstein
Tova Goodman
Tzipora Solomon
Udel Sperling
Varda Zakheim
Vera Teitelbaum
Yael Glaser
Yetta Goldfarb
Yetta Waldman
Zipporah Rabinowitz
Zisel Friedman
Ziva Kranzler
