Adisa Serengeti
Akello Python
Akil Wolf
Akosua Grove
Akosua Monkey
Ananzi Spider
Arin Lynx
Azibo Hyrax
Azibo Mongoose
Azibo Phoenix
Azibo Thorn
Badu Falcon
Bakari Lion
Bello Woodpecker
Bomani Zebra
Chiku Bush
Chiumbo Gecko
Chiumbo Warthog
Chuma Wildebeest
Dakarai Tamarin
Daktari Jungle
Duma Gator
Ekon Python
Folo Giraffe
Garai Jaguar
Hondo Crocodile
Hondo Goshawk
Hondo Lizard
Igwe Sand
Ishmael Reed
Jabari Echo
Jaribu Drongo
Jaribu Hawk
Jengo Banyan
Jengo Chimpanzee
Jengo Fallow
Jengo Jungle
Jengo Rhino
Jengo Viper
Kabir Panthera
Kalb Ram
Katlego Bongo
Kato Creek
Kibo Serpent
Kito Elephant
Kito Storm
Kosey Otter
Lerato Swamp
Mosi Mangrove
Mosi Snipe
Nuru Bamboo
Obi Rhino
Omari Forest
Oni Fox
Oni Toucan
Safiri Cheetah
Sudi River
Tahir Buffalo
Taji Gorilla
Taji Ocelot
Tandie Crane
Tandie Jungle
Tao Leopard
Tendaji Reed
Tselane Veldt
Zabud Antelope
Zaire Hippo
Zazu Rainforest
Zesiro Beaver
Zesiro Cobra
Zodwa Finch
Zodwa Wilder
Zuri Hyena
