Addison Paul
Amaryllis Eustace
Amaryllis Mildred
Ashley Edward
Aster Maurice
Aubrey Arnold
BLUEBELL Conrad
Belle Douglas
Beverly William
Blossom Agnes
Blossom Alan
Blossom Doris
Blossom Mabel
Blossom Winifred
Bluebell Barnabas
Bluebell Gladys
Bluebell Prudence
Bluebell Winifred
Brittany Christopher
Buttercup Algernon
Buttercup Beryl
Buttercup Eustace
Buttercup Harriet
Buttercup Wilbert
Camellia Hubert
Camellia Mortimer
Camellia Myrtle
Camellia Owen
Camellia Winifred
Carol Brian
Cecily Kenneth
Cherry Blossom Doris
Cherry Nathan
Chloe Anthony
Christie Neil
Chrysanthemum Mildred
Clementine Donald
Coral Roland
Courtney Richard
Cranesbill Marjory
Daffodil Barnabas
Daffodil Doris
Daffodil Douglas
Daffodil Edna
Daffodil Mortimer
Daffodil Olive
Daffodil Prudence
Dahlia Barry
Daisy Chester
Daisy Doris
Daisy Eustace
Daisy Hilda
Daisy Mortimer
Dana Scott
Daphne Derek
Delphine Edmund
Delphinium Reginald
Delphinium Septimus
Delphinium Thaddeus
Eliza Peter
Evelyn Thomas
Fay Clifford
Fern Bradley
Fern Graham
Flora Ryan
Forsythia Aloysius
Forsythia Beauregard
Forsythia Cecil
Francis Kimberly
Freesia Algernon
Freesia Enid
Fuchsia Gloria
Gardenia Bartholomew
Garland Prudence
Georgina Laurence
Geranium Edna
Gillian Geoffrey
Hibiscus Archibald
Hibiscus Mavis
Hillary Robert
Holly Brandon
Hyacinth Ernest
Hyacinth Gordon
Iris Minnie
Iris Muriel
Ivy Bertram
Ivy Dennis
Ivy Edith
Ivy Mabel
Ivy Montgomery
Jasmine Albert
Jasmine Beryl
Jasmine Ethel
Jasmine Horatio
Kerria Agatha
Kerry Timothy
Kitty Raymond
Lauren Michael
Lavender Gilbert
Lavender Leonard
Lavender Percival
Lavender Septimus
Leslie Roger
Lilac Cyril
Lilac Enid
Lilac Leopold
Lilac Percival
Lilac Phyllis
Lilac Wilfred
Lily Doris
Lily Martin
Lily Maud
Lily Winifred
Lindsay Jeffrey
Magnolia Bertha
Magnolia Harold
Magnolia Harriet
Maisie Derek
Margot Francis
Marian Steven
Marigold Horatio
Marigold Miriam
Marigold Roderick
Marigold Rupert
Marigold Wilma
Marion Francis
Meredith John
Narcissus Edith
Oleander Mabel
Orange Blossom Gladys
Orchid Harriet
Pansy Minnie
Pansy Patrick
Pearl Vincent
Pearl Walter
Penelope Lewis
Peony Agnes
Peony Algernon
Peony Bartholomew
Peony Beryl
Peony Frederick
Peony Gladys
Peony Herbert
Peony Reginald
Peony Winifred
Pippa Hugh
Poppy Jeremy
Poppy Mildred
Primrose Hubert
Primrose Leopold
Primrose Roderick
Primrose Vernon
Primrose Winifred
Robin Sean
Rosaline Gerard
Rose Edna
Rose Ethel
Rose Frederick
Rose Myrtle
Rose Pearl
Rose Ross
Rose Winifred
Shirley David
Snapdragon Walter
Stacy Phillip
Sunflower Archibald
Sunflower Bartholomew
Sunflower Clifford
Sunflower Edna
Sunflower Eunice
Sunflower Gertrude
Sunflower Hilda
Sunflower Mabel
Sunflower Maud
Sunflower Myrtle
Sunflower Prudence
Sunshine Edgar
Sweetpea Archibald
Sweetpea Gilbert
Sweetpea Horatio
Sweetpea Marjory
Sweetpea Maud
Sweetpea Miriam
Tansy Aloysius
Tansy Barnabas
Tansy Winston
Tulip Aloysius
Tulip Bertram
Tulip Doris
Tulip Enid
Tulip Ethel
Tulip Harold
Valentine Arnold
Violet Miriam
Violet Wilfred
Vivian Samuel
Water Lilly Olive
Whitney James
Xanthe Lloyd
Xerophyte Minnie
Yasmin Nigel
Yellow Daisy Gertrude
Zinnia Colin
Zinnia Cuthbert
Zinnia Ethel
Zinnia Reginald
Zinnia Wilfrid
