Adalina Cannon
Adela Warrior
Ajax Thruston
Ajax Titan
Althea Tank
Andreina Torque
Armor Amanda
Astra Jet
Astrid Boulder
Attila Triumph
Axel Grinder
Axel Iron
Axel Stone
Barbara Boulder
Baron Hercules
Barrett Bold
Beast Bold
Beast Brenda
Berta Axe
Bertha Force
Bison Flint
Blade Armstrong
Blade Rampart
Blade Steelson
Blast Dangerfield
Blaze Chains
Blaze Hammer
Blitz Brutal
Blitz Hammerstone
Brandy Bullet
Brawn Wilde
Brick Armstrong
Brick Bravado
Brock Hardson
Brock Irons
Bronco Rugged
Bruno Unstoppable
Brutus Behemoth
Buck Armstrong
Bull Bronson
Bull Rush
Bulldoze Brenda
Butch Brentley
Cannon Brock
Carla Fierce
Champ Fightmaster
Cliff Boulder
Colt Thornton
Courage Cris
Crank Hardson
Cripps Rampart
Crusher Carmen
Dagger Dana
Dagger Might
Damien Machismo
Davina Thunder
Demolish Deborah
Denman Hardcastle
Diesel Armstrong
Drake Ironside
Duke Edge
Edge Erika
Eleanora Wilder
Elwood Bearskin
Flint Hardley
Force Francine
Frederica Strong
Fury Faye
Gage Mastodon
Geraldine Rambo
Griffon Savage
Grit Gloria
Grit Hero
Grizzly Boulder
Gunilla Blade
Gunner Havoc
Gunner Steel
Gunther Stone
Hammer Ruin
Hardy Holly
Harley Machinator
Havoc Rogue
Hawk Heroine
Hawk Steelhart
Hawke Armstrong
Heavy Heather
Hercules Cometh
Hercules Titan
Hilda Hammer
Hildegard Power
Honor Vanguard
Hulk Ridgeson
Hunter Steele
Iris Iron
Jaguar Brock
Jaxx Grindhouse
Justice Mace
Kendra Soldier
Knox Onslaught
Kraken Armstrong
Kraven Battle
Leadra Punch
Lion Gunman
Lionel Irons
Lynx Gatling
Mace Hammerstone
Macho Titanus
Madeleine Maverick
Madox Rough
Maelstrom Divebomb
Marilyn Macho
Marine Michelle
Mars Rugged
Marshall Sabre
Martha Muscles
Matilda Magnum
Maverick Storm
Maverick Tuff
Maximus Armstrong
Maximus Steel
Odin Stormrider
Pamela Viper
Pathfinder Iron
Patricia Piston
Paxton Gunner
Phoenix Daredevil
Power Pamel
Power Valor
Pyro Titan
Quinnetta Steel
Rainier Conqueror
Ram Rachel
Rambo Ridgeson
Rampage Blockbuster
Rampage Storm
Ranger Hammerstone
Ranger Rachel
Ravage Dominator
Ravager Armstrong
Reign Brotherhood
Rex Firestorm
Rex Titan
Rhino Boldman
Rhonda Rhino
Rider Battleborn
Riot Rebecca
Robina Fighter
Rock Rhodes
Rock Slabman
Rocket Armstrong
Rocky Rage
Rodeo Tank
Ronda Risk
Rough Ruby
Ryder Gatling
Ryker Rampage
Samara Rough
Sargent Hulk
Savage Sandra
Shotgun Sharon
Sledge Hardley
Smash Gatling
Sparky Punch
Spike Ridgeson
Spike Warpath
Stallion Steele
Steel Axton
Sterling Cindy
Sting Armstrong
Stone Rhodes
Storm Foamcrusher
Strength Silvia
Strike Gatling
Striker Magnum
Tank Hardrock
Terror Teresa
Thor Peterson
Thor Strongman
Thunder Boulder
Tiago Throne
Tiger Tammy
Titan Fist
Titan Peterson
Titan Strongfield
Titan Tina
Torpedo Tori
Tough Tiana
Toughie Trisha
Trident Rugged
Trigger Force
Trigger Gunman
Triton Irons
Triton McStrong
Trooper Boldman
Trooper Tracey
Turbo Steele
Typhoon Hardley
Typhoon McStrong
Tyrone Bouldershoulder
Ulysses Fierce
Valiant Crusher
Vernita Rocket
Viper Strongman
Vlad Bruteson
Vlasta Fortress
Vulcan McStrong
Warrior Strongfield
Warrior Wendy
Whirlwind Wendy
Wild Whitney
Wolfgang Fortress
Wrangler Armstrong
Xander Barrage
Zephyr Rambo
Zeppelin Fortress
Zeus Bronson
Zeus Thunderson
