Adalina Cannon
Adela Warrior
Althea Tank
Andreina Torque
Armor Amanda
Astra Jet
Astrid Boulder
Barbara Boulder
Beast Brenda
Berta Axe
Bertha Force
Brandy Bullet
Bulldoze Brenda
Butch Brentley
Carla Fierce
Courage Cris
Crusher Carmen
Dagger Dana
Davina Thunder
Demolish Deborah
Edge Erika
Eleanora Wilder
Force Francine
Frederica Strong
Fury Faye
Geraldine Rambo
Grit Gloria
Gunilla Blade
Hardy Holly
Hawk Heroine
Heavy Heather
Hilda Hammer
Hildegard Power
Iris Iron
Kendra Soldier
Leadra Punch
Madeleine Maverick
Marilyn Macho
Marine Michelle
Martha Muscles
Matilda Magnum
Pamela Viper
Patricia Piston
Power Pamel
Quinnetta Steel
Ram Rachel
Ranger Rachel
Rhonda Rhino
Riot Rebecca
Robina Fighter
Ronda Risk
Rough Ruby
Samara Rough
Savage Sandra
Shotgun Sharon
Sterling Cindy
Strength Silvia
Terror Teresa
Tiger Tammy
Titan Tina
Torpedo Tori
Tough Tiana
Toughie Trisha
Trooper Tracey
Vernita Rocket
Vlasta Fortress
Warrior Wendy
Whirlwind Wendy
Wild Whitney
