Abílio Magalhães
Afonso Monteiro
Alberto Almeida
Amadeu Ferro
Américo Santos
André Leite
António Sousa
Aníbal Mota
Bernardo Neto
Bruno Moreira
Carlos Ferreira
Daniel Farias
Diogo Barros
Duarte Figueiredo
Eduardo Cunha
Eliseu Vilaça
Eusébio Guedes
Fausto Soares
Fernando Alves
Francisco Pereira
Gabriel Marques
Gonçalo Pires
Gregório Araújo
Henrique Castro
Hernâni Nunes
Hugo Lima
Héctor Matias
Isaac Abreu
Isaque Xavier
Ivo Correia
Jaime Brasil
Jorge Rodrigues
José Fernandes
João Silva
Luis Martins
Manuel Gonçalves
Marco Guerreiro
Miguel Ribeiro
Mário Machado
Nicolau Bastos
Noé Cerqueira
Nuno Mendes
Patrício Varão
Pedro Costa
Quirino Marinho
Rafael Pinheiro
Ricardo Sequeira
Roberto Melo
Rodrigo Neves
Rui Carvalho
Rómulo Maia
Rúben Rocha
Salvador Serra
Sansão Salvador
Sebastião Batista
Simão Teixeira
Sérgio Oliveira
Teodoro Macedo
Tiago Freitas
Tito Lopes
Tomás Henriques
Ulisses Quintas
Uriel Veloso
Valentim Taveira
Vasco Pinto
Vicente Rolo
Zacarias Simões
Élvio Camões
Ódin Pacheco
Óscar Valente
