Alden Cobb
Archie Ridley
Basil Atkinson
Beau Underwood
Billy-Bob Thornton
Bo Madison
Bobby-Joe Clanton
Boone Campbell
Bret Hatter
Buck Granger
Buddy Franklin
Burt Hollis
Chester Dewey
Chuck Overstreet
Clem Cooter
Cletus Langley
Dale Johnson
Dean Hartman
Devin Kirkland
Dexter Womack
Dudley Bowman
Dusty Maddox
Dwayne Merle
Earl Davis
Earl McKinney
Elmer Tractor
Elvin Cash
Emmett Wiggins
Enos Whitlock
Eugene Baxter
Garth Dalton
Hank McCoy
Harley Boswell
Herbert Wyatt
Homer Haggard
Jebediah Buckner
Jerry Fields
Jessie Cale
Jethro White
Jim Harold
Jimmie Dillard
Junior Bixby
Larry Holcomb
Lemuel Tucker
Lloyd Merritt
Lonnie Skinner
Luke Darby
Mack Skinner
Mack Stubbs
Merle Nelson
Mervin Stone
Oakley Bradshaw
Orville Stallings
Otis Bobo
Percy Greenland
Rance Hammond
Randall Carter
Randy Mooney
Rex Kline
Ricky Skaggs
Rocky Justice
Rosie McGinley
Royce Sinnett
Rufus Caldwell
Rufus Vance
Rusty Clements
Vance Hawking
Vern Gillis
Vernon Cyrus
Wade Foster
Zeke Irwin
