Aeon Spacehart
Aero Comet
Altair Lunar
Altair Skybeam
Antares Sunstar
Apollo Astrolight
Aquila Lightyear
Arcturus Radiant
Atlas Skyward
Borealis Starwind
Callix Torus
Capella Skygazer
Cassio Pulsar
Castor Astrostrike
Castor Orionis
Cepheus Comet
Corban Dallas
Corvus Luminus
Crux Orionis
Deneb Solarflare
Draco Starline
Drake Pulsar
Eldon Starbeam
Emrys Starlord
Endymion Cosmonaut
Helius Meteora
Ivar Rocket
Juno Gravity
Kylen Solara
Larz Solstice
Lyra Starbright
Lysander Starfall
Maximus Starwalker
Mercury Andromeda
Nebula Phoenix
Neo Pulsar
Odin Starfire
Oran Nebulon
Orion Constellight
Orion Supernova
Phelan Quasar
Polaris Starborn
Pollux Solaris
Procyon Pulsar
Quill Hypernova
Raph Hyperion
Raydon Vega
Rem Kosmos
Rigel Infinity
Rigel Starblossom
Ronan Neptune
Sirius Rayburn
Sirrah Galactica
Stellan Galaxia
Talon Stardust
Thorben Jerva
Tiberius Quantum
Uri Starclaw
Valor Apollo
Vega Starburn
Vigo Orion
Vortigern Cosmos
Warrick Pluto
Xander Nebulas
Zayde Meteor
Zedd Ironbeard
Zenon Quark
Zephyr Cosmorider
Zephyr Galaxy
Zephyr Skywatcher
