Alejandro Vargas
Alfonso Labastida
Angel Escobar
Antonio Montes
Armando Novoa
Arturo Alvarado
Aurelio Trevino
Benito Linares
Carlito Servin
Carlos Mendoza
Claudio Navarrete
Consuelo Zambrano
Domingo Moralez
Eduardo Bernal
Eliseo Armendariz
Emilio Buendia
Enrique Salazar
Ernesto Leon
Ezequiel Santana
Fausto Parra
Felipe Paredes
Felipe Suarez
Fernando Castillo
Francisco Cervantes
Francisco Herrera
Gonzalo Larios
Gregorio Duran
Guillermo Romero
Hector Bautista
Hugo Solis
Humberto Salguero
Ignacio Velasco
Isidro Juárez
Jaime Vela
Javier Sierra
Jesús Lara
Jose Saenz
Josep Lobato
Juan Quiñonez
Julian Soto
Leon Barba
Luis Perdomo
Manuel Rojas
Marcelo Gámez
Marcos Rosario
Mariano Centeno
Mario Díaz
Mateo Rueda
Mauricio Barrientos
Maximiliano Arevalo
Miguel Guerrero
Narciso Navarro
Pablo Ponce
Pedro Serrano
Rafael Delgado
Rafael Santiago
Ramon Muñoz
Raul Pena
Roberto Avila
Rodrigo Chávez
Rolando Galindo
Roman Madrid
Ruben Naranjo
Santiago Vallejo
Sebastian Portillo
Sergio Mejia
Teodoro Rubio
Tomas Maldonado
Vicente Zavala
Victor Rosas
