Banshee Banebrook
Candela Gravesong
Coldina Bansheewhisper
Coldscaia Spookwish
Creepaia Tombwhisper
Creeptoria Scarewind
Creeptoria Shadowscreech
Crisidia Nightmareveil
Crixi Nightscreech
Darkaia Spookmoon
Deadnora Blackshadow
Decayna Rattlewind
Demiseana Darkdess
Direlsa Darkwight
Dreadbella Tombdoom
Dreadina Shadegloom
Dreadmia Scareghoul
Dreadra Bansheeveil
Dreadrina Deathgale
Drusara Bansheescreech
Duskaria Graveheart
Duskira Wraithmoon
Eerieana Ghoulsong
Eerieanka Vilewail
Eerina Deathbloom
Fearaia Spookmoan
Fearica Tombshudder
Fearine Nightmarewhisper
Fearonna Shadowbloom
Frightia Scarewhisper
Frightoria Witchhowl
Gastna Ghouldread
Ghastella Ghoulgloom
Ghastenna Cryptwish
Ghoulina Frightmoor
Ghoulisa Tombshade
Ghoulissa Vileshadow
Ghouliza Deathmoon
Ghoulria Graveveil
Gloamara Scarewisper
Gloamena Gravegrasp
Gloomara Nightdess
Gloomcinda Corpseveil
Gloomika Cryptgale
Gravaia Ghoulhollow
Gravecelia Nightwhisper
Gravena Darkwhisper
Gravencia Deathshadow
Graysa Graveshriek
Grimaia Nightgloom
Grimmia Ghostwhisper
Griselda Shadowveil
Haunta Doomveil
Hauntedeka Bansheeveil
Lamentaka Ghoulwish
Lamentia Deathshriek
Lilifera Gravemourne
Lilith Morbidwhisper
Lilura Doomshadow
Lunara Skulldoom
Lunera Shadowhollow
Lurianna Shriekbloom
Luridia Morbidshriek
Mara Morosemoan
Midniteka Shadowwind
Moonimia Cryptmoan
Morbidelia Deathghoul
Morbidena Wraithdread
Morbidwen Ghoulsong
Morosara Ghastwhisp
Morwena Blackhollow
Morwena Darklore
Namaera Ghastshroud
Namira Morbidshriek
Necra Soulreaper
Necraia Bansheemoon
Nightaia Ghastshade
Nightmarella Wraithgloom
Noctanaia Blackwind
Noctanea Cryptmourne
Noctinanja Bansheewind
Onyxia Deathwhisper
Osara Wraithwind
Pallida Deathsinger
Phantaia Gravesong
Phantara Creeperclaw
Phantomera Scarewind
Phantomnas Grimshade
Plagueara Doomshriek
Porcelia Palegloom
Raenira Nightwhisper
Ravara Skullbane
Ravena Doomshadow
Reaporia Nightveil
Reliquia Corpsegloom
Reliquia Cryptchill
Sable Dreadmoor
Scaremia Graveveil
Scaryaia Blackrite
Scarys Skullshade
Screamaia Ghostmoan
Screamia Cryptveil
Screamira Ghostghoul
Screamona Morbidscream
Screekaia Ghasthollow
Screekelia Gravemoore
Selasca Cryptsong
Selena Ghostwail
Selenaia Tombgrasp
Shadowbeth Skulldread
Shadoweena Skellington
Shadowza Cryptwish
Shadria Tombdoom
Shorieka Pantominia
Shreakara Cryptdoom
Shriekeanna Deathwind
Shriekendra Skullcry
Shroudina Tombmoon
Skullina Ghoulwhisper
Soulinda Skullshade
Specta Doomgale
Spectra Shroudweaver
Spectralia Dreadhollow
Spookara Skullbloom
Spookiaa Bansheewind
Spookira Cryptshade
Spookona Doomhollow
Terrifia Tombwhail
Terroraia Gravewail
Tombetha Rattlesnarl
Tylera Spookwind
Umbra Vileshade
Umbrela Doomhollow
Umbria Ghostveil
Veilina Gravehowl
Veilvia Scarewind
Verna Vileveil
Vernora Deathgloom
Vexana Spooksong
Vexera Wraithrit
Vexia Rattleshroud
Vexia Witchwind
Vexifer Skullmoon
Vhaleria Nightshadow
Vultura Deathscream
Vynara Nocturnewail
Xalia Shadowveil
Xaris Silentscream
Yana Shadegloam
Zanara Deadwalker
Zarla Ghastgloom
Zombaia Ghostscreech
Zombelina Gravecry
Zombella Vilegloom
Zomberia Nightveil
Zombieena Witchwhistle
Zoombetha Shrieksnarl
spectoria Shadowveil
