Argoth Shadowfall
Arlon Specterthane
Athon Cryptsmile
Boren Morbidwalker
Boren Voidgaze
Borvo Skeleheart
Cavan Darkshade
Crelian Tombstalker
Curil Wraithshroud
Daros Gravegaze
Derrol Spectrewalker
Divo Dreadthane
Efril Gravegloom
Ethor Necrostrider
Evgar Spiritbane
Fadox Gravebleak
Fraren Wraithshroud
Gelath Corpsebane
Gorloch Phantomsoul
Gralon Spectreshroud
Harios Cryptsmile
Harol Soulshroud
Higar Bonesworn
Irevan Hauntthane
Irren Spectershroud
Itol Ghoulbleak
Jaran Doomstrider
Jarok Tombgaze
Jaron Morbissoul
Kaven Tombbleak
Kaver Dreadgrave
Kesmon Voideyes
Loran Ghostclaw
Loran Shadowwisp
Lorthan Ghoulhand
Mikos Deathbale
Morloth Shadowskull
Myron Ghostbane
Neron Corpsegaze
Nervan Cryptbale
Norril Morbidesire
Oril Necrothane
Oril Wraithbale
Orin Soulrasp
Pharan Cryptstrider
Phirox Deathbane
Phyron Deathgaze
Qoran Tombgloom
Quolon Ghostsoul
Qyver Doombleak
Raveth Gloomwalker
Resos Voidbane
Rethan Deathmarrow
Saven Wraithstrider
Selloch Gravebane
Torgar Shadowskull
Toril Shadowwisp
Turgor Spectralbane
Uras Specterstrider
Urvo Morbistant
Vanthar Voidthane
Velso Specterthane
Weshen Spiritbale
Wessos Soulthorn
Xeron Deathbane
Xethos Phantombale
Yaran Necroskull
Yresso Gravebreath
Zevan Nightbane
Zorven Dreadwisp
