Ace Ledoux
Adelaide York
Alma Briggs
Annie Black
Annie Oakley
Austin Sawyer
Austin West
Axel Shepard
Bat Masterson
Beatrice Mayfield
Belle Mercer
Belle Starr
Billy Dawson
Billy Hickok
Black Bart
Blanche Roper
Blaze Sherman
Bonnie Sawyer
Boone McCoy
Bradley Slater
Branch McClintock
Bret Maverick
Bronco Brady
Bronson Wade
Buck Carson
Buck Wyatt
Buffalo Bill
Butch Cassidy
Calamity Jane
Calamity Sam
Calhoun Bishop
Carmen Skinner
Cash Holliday
Charlie Pierce
Chuck Madsen
Clarabelle Ridge
Clay Hardin
Clint Eastwood
Clint Walker
Cole Younger
Colt Anderson
Colt Cassidy
Constance Green
Cora Colter
Cordelia Fort
Daisy Cartwright
Dallas Sterling
Dalton Ford
Darlene Webb
Davy Crockett
Deacon Boyd
Deacon Vance
Deadwood Dick
Delilah Boone
Dinah Sheridan
Django Farrell
Doc Holliday
Duke Marshall
Duke Travis
Duke Westwood
Dusty Owens
Earl Gibson
Edna Crewe
Eleanor Ramsay
Eli Crowe
Eliza Hayworth
Emily Kinney
Emmeline Marshal
Etta Bright
Eugenia Barclay
Evaline Blanchard
Evelyn Walsh
Everett Nichols
Flint Haskins
Flora Adler
Florence Samuel
Frances Wallace
Frank Yuma
Garnett Farmer
Garrett Earp
Gavin Brooks
Geneva Holt
Gideon Boone
Gunner Prescott
Hank Dalton
Hank Yarbro
Harmony Carson
Harriet Granger
Hattie Wheeler
Hawk Foley
Heath Dawson
Holt Tucker
Hoss Draper
Hudson Miller
Huxley Grey
Iris McKinney
Isaac Cody
Isabel Wharton
Ivy Forge
Jace Lincoln
Jack Dalton
Jack Fremont
Jackson Harper
Jake McCoy
Jasper Montana
Jeb Brody
Jeb Sinclair
Jed Harper
Jed Jackson
Jensen Reynolds
Jess McCabe
Jesse James
Jethro McCoy
John Wayne
Johnny Ringo
Josephine Hart
Kane McCall
Kid Curry
Kit Carson
Knox Callahan
Laramie Rhodes
Lena Backer
Lillian Clay
Lottie Deno
Louisa Anders
Lucille Sutton
Luke Stanley
Mabel Hooper
Maddox Wilson
Madeline Hawkins
Magnolia Tucker
Margery Snyder
Marjorie Brewster
Marshall Bennett
Martha Miller
Matilda Kingsley
Maverick Barnes
Maverick Carter
Max Boone
Max Hitchcock
Maxine Booth
Mercer Steele
Miriam Daniels
Molly Pendleton
Myrtle Winters
Nancy Wilde
Nash Bennett
Nettie Gallagher
Nevada Clay
Nolan Carter
Nora Plain
Orrin Holt
Parker Graham
Pearl Sullivan
Phoebe Abbott
Polly Pierce
Priscilla Frost
Rasheeda Thompson
Reagan Sawyer
Rebecca Lynch
Red Mason
Reuben Drake
Rex Holdren
Rigby Nolan
Riley Mason
Rio Maddox
Roberta Bryant
Rocky Hamilton
Rosalie Reed
Roy Rogers
Ruby Thorn
Ruth Stanton
Ryder Mercer
Sadie Harper
Sam Bass
Sam Winchester
Scarlet Duran
Si Garrison
Slater Calloway
Stella Ashe
Stella Ford
Stetson Pierce
Sundance Kid
Tate Gallagher
Texas Jack
Thatcher Bell
Tom Horn
Tom Selleck
Trace Holbrook
Travis Dillon
Troy Boon
Turner Hayes
Ulysses Creed
Vance Lawson
Victoria Hale
Violet Rivers
Virginia Morgan
Wade Griffin
Wade Larson
Walker Riggs
Wanda Wade
Wilder Bennett
Wilder Boone
William Cody
Wyatt Black
Wyatt Earp
Yancy Tucker
Zane Cooper
Zane Lockhart
Zeb Dawes
Zeke Bartel
