Adelaide York
Alma Briggs
Annie Black
Beatrice Mayfield
Belle Mercer
Blanche Roper
Bonnie Sawyer
Carmen Skinner
Clarabelle Ridge
Constance Green
Cora Colter
Cordelia Fort
Daisy Cartwright
Darlene Webb
Delilah Boone
Dinah Sheridan
Edna Crewe
Eleanor Ramsay
Eliza Hayworth
Emily Kinney
Emmeline Marshal
Etta Bright
Eugenia Barclay
Evaline Blanchard
Evelyn Walsh
Flora Adler
Florence Samuel
Frances Wallace
Garnett Farmer
Geneva Holt
Harmony Carson
Harriet Granger
Hattie Wheeler
Iris McKinney
Isabel Wharton
Ivy Forge
Josephine Hart
Lena Backer
Lillian Clay
Louisa Anders
Lucille Sutton
Mabel Hooper
Madeline Hawkins
Magnolia Tucker
Margery Snyder
Marjorie Brewster
Martha Miller
Matilda Kingsley
Maxine Booth
Miriam Daniels
Molly Pendleton
Myrtle Winters
Nancy Wilde
Nettie Gallagher
Nora Plain
Pearl Sullivan
Phoebe Abbott
Polly Pierce
Priscilla Frost
Rasheeda Thompson
Rebecca Lynch
Roberta Bryant
Rosalie Reed
Ruby Thorn
Ruth Stanton
Sadie Harper
Scarlet Duran
Stella Ashe
Stella Ford
Victoria Hale
Violet Rivers
Virginia Morgan
Wanda Wade
