Amber Lynn
April Skinner
Bambi Mathis
Bebe McKee
Bertha Barnes
Billie Hollister
Boo Lee
Brandi Fairfax
Breezy York
Bubble Davenport
Bubbles Burroughs
Bunny McNulty
Candi Collinsworth
Candi Mullins
Cherry Grant
Cindy Shepherd
Coco Crowder
Crystal Bumpus
Darlene Fitch
Destiny Pritchett
Dusty Savage
Fawn Dickens
Flossie Hawkins
Gidget Slayton
Honey Harper
Jesse Johnston
Jolene McFarland
Judy Blue
Kimber Kane
Leanne Love
Lola Dillard
Lulu Fry
Lynn Langston
Mimi Beauchamp
Missy Babcock
Misty Vaughn
Natalie Drew
Patsy Cline
Patty Painter
Pearly Robinson
Peggy Fortenberry
Percy Huff
Prissy Bender
Pumpkin Steele
Queenie Quincy
Raine Chambers
Reba Reynolds
Robin Reed
Roxie Logan
Sally Ann Pierce
Sasha Stacey
Shana Sparks
Shanda Dunlap
Sheena Brewster
Shirley Cox
Sissy Higgins
Stacy Hopkins
Starla Stephenson
Sunshine Harris
Taffy Connolly
Tammy Mowbray
Tiffany Wilkins
Tina Turner
Tracey McAllister
Trixie Adams
Trixie Shaffer
Velma Venus
Velvet Summers
Wanda Jean
Wendy Twist
Xena Xerox
Yasmine York
Zara Zane
