Abraham Price
Amos Baxter
Archie Underwood
Bartley Rhodes
Billy Ray Callahan
Bobby Joe Turner
Boyd Whitaker
Bubba Grissom
Buck Wilkinson
Buford Kilpatrick
Burl Mathis
Calvin Winston
Cecil Collier
Chester Bennett
Claudie Thompson
Clayton Crowder
Cletus Martin
Cleveland Booth
Clyde Maddox
Dale Cooper
Darren Kilgore
Darryl Dover
Dewey Jefferson
Donnie Sweeney
Doyle Patton
Dwight Halstead
Earl Thatcher
Elmer Edwards
Elroy Davis
Ernest Grady
Floyd Rowe
Glenn Tucker
Hank Evans
Herschel Ogle
Hershel Spangler
Hiram Sturdivant
Homer Hatton
Hoss Briggs
Jethro Tillman
Jim Bob Simmons
Junior Gowan
Kenny Flaherty
Larry Mercer
Lenny Nolan
Lester Mitchell
Levi Hatfield
Lon Sawyers
Lonnie Naylor
Lum Gilbert
Merle Ellison
Mickey Pearson
Obie Newman
Orville Bellamy
Otis Larsen
Percy Griffith
Ray Timms
Rod Crowe
Royce Callaghan
Rufus Copeland
Rusty Bohn
Skeeter Paine
Stanford Wooldridge
Stanley Dalton
Stuart Sharp
Tracy Parish
Vern McAdams
Vernon Moon
Waylon Carrington
Wilbur Denning
Zeke Robertson
